Script started on 2026-06-01 21:04:17+08:00 [<not executed on terminal>]
============================================================
训练配置 - 方案A (卷积+池化+分组池化)
============================================================
量子比特数: 8
Ansatz层数: 8
参数数量: 120
训练轮数: 40
批次大小: 50
学习率: 0.001
============================================================

加载并预处理数据...
训练样本数: 1000
预处理后数据维度: 8
标签分布: 0(数字4): 473, 1(数字9): 527
数据范围: [0.4924, 1.4732]

开始训练...
============================================================
训练样本数: 1000
[1秒] 样本 1/1000, 损失: 0.6747
[3秒] 样本 2/1000, 损失: 0.6747
[4秒] 样本 3/1000, 损失: 0.6747
[5秒] 样本 4/1000, 损失: 0.6747
[6秒] 样本 5/1000, 损失: 0.0319
[8秒] 样本 6/1000, 损失: 0.6747
[9秒] 样本 7/1000, 损失: 0.0319
[10秒] 样本 8/1000, 损失: 0.6747
[11秒] 样本 9/1000, 损失: 0.0319
[12秒] 样本 10/1000, 损失: 0.0319
[14秒] 样本 11/1000, 损失: 0.6747
[15秒] 样本 12/1000, 损失: 0.6747
[17秒] 样本 13/1000, 损失: 0.6747
[18秒] 样本 14/1000, 损失: 0.0319
[19秒] 样本 15/1000, 损失: 0.0319
[20秒] 样本 16/1000, 损失: 0.6747
[21秒] 样本 17/1000, 损失: 0.6747
[23秒] 样本 18/1000, 损失: 0.6747
[24秒] 样本 19/1000, 损失: 0.0319
[25秒] 样本 20/1000, 损失: 0.0319
[27秒] 样本 21/1000, 损失: 0.0320
[28秒] 样本 22/1000, 损失: 0.0319
[29秒] 样本 23/1000, 损失: 0.6747
[30秒] 样本 24/1000, 损失: 0.0319
[32秒] 样本 25/1000, 损失: 0.6747
[33秒] 样本 26/1000, 损失: 0.0326
[35秒] 样本 27/1000, 损失: 0.6747
[36秒] 样本 28/1000, 损失: 0.0319
[37秒] 样本 29/1000, 损失: 0.6747
[38秒] 样本 30/1000, 损失: 0.6747
[40秒] 样本 31/1000, 损失: 0.0319
[41秒] 样本 32/1000, 损失: 0.0319
[42秒] 样本 33/1000, 损失: 0.6747
[43秒] 样本 34/1000, 损失: 0.0319
[45秒] 样本 35/1000, 损失: 0.0319
[46秒] 样本 36/1000, 损失: 0.6747
[47秒] 样本 37/1000, 损失: 0.6747
[48秒] 样本 38/1000, 损失: 0.6747
[49秒] 样本 39/1000, 损失: 0.0319
[51秒] 样本 40/1000, 损失: 0.6747
[52秒] 样本 41/1000, 损失: 0.0411
[53秒] 样本 42/1000, 损失: 0.6663
[54秒] 样本 43/1000, 损失: 0.0319
[56秒] 样本 44/1000, 损失: 0.0319
[57秒] 样本 45/1000, 损失: 0.0319
[58秒] 样本 46/1000, 损失: 0.6747
[59秒] 样本 47/1000, 损失: 0.0319
[61秒] 样本 48/1000, 损失: 0.0319
[62秒] 样本 49/1000, 损失: 0.0319
[63秒] 样本 50/1000, 损失: 0.6747
[65秒] 样本 51/1000, 损失: 0.0308
[66秒] 样本 52/1000, 损失: 0.0308
[67秒] 样本 53/1000, 损失: 0.0308
[69秒] 样本 54/1000, 损失: 0.0308
[70秒] 样本 55/1000, 损失: 0.6797
[71秒] 样本 56/1000, 损失: 0.6797
[72秒] 样本 57/1000, 损失: 0.6797
[73秒] 样本 58/1000, 损失: 0.0308
[75秒] 样本 59/1000, 损失: 0.6797
[76秒] 样本 60/1000, 损失: 0.6797
[77秒] 样本 61/1000, 损失: 0.6797
[79秒] 样本 62/1000, 损失: 0.6797
[80秒] 样本 63/1000, 损失: 0.0308
[81秒] 样本 64/1000, 损失: 0.0308
[82秒] 样本 65/1000, 损失: 0.0308
[83秒] 样本 66/1000, 损失: 0.6797
[85秒] 样本 67/1000, 损失: 0.0308
[86秒] 样本 68/1000, 损失: 0.6797
[87秒] 样本 69/1000, 损失: 0.0308
[89秒] 样本 70/1000, 损失: 0.0308
[90秒] 样本 71/1000, 损失: 0.0308
[91秒] 样本 72/1000, 损失: 0.6797
[92秒] 样本 73/1000, 损失: 0.0308
[94秒] 样本 74/1000, 损失: 0.0308
[95秒] 样本 75/1000, 损失: 0.0308
[96秒] 样本 76/1000, 损失: 0.0308
[97秒] 样本 77/1000, 损失: 0.6716
[99秒] 样本 78/1000, 损失: 0.6797
[100秒] 样本 79/1000, 损失: 0.0308
[101秒] 样本 80/1000, 损失: 0.0308
[102秒] 样本 81/1000, 损失: 0.0308
[103秒] 样本 82/1000, 损失: 0.0308
[105秒] 样本 83/1000, 损失: 0.0308
[106秒] 样本 84/1000, 损失: 0.6797
[107秒] 样本 85/1000, 损失: 0.6797
[109秒] 样本 86/1000, 损失: 0.0308
[110秒] 样本 87/1000, 损失: 0.6797
[111秒] 样本 88/1000, 损失: 0.6797
[112秒] 样本 89/1000, 损失: 0.0308
[113秒] 样本 90/1000, 损失: 0.0308
[114秒] 样本 91/1000, 损失: 0.6797
[115秒] 样本 92/1000, 损失: 0.6797
[117秒] 样本 93/1000, 损失: 0.6797
[118秒] 样本 94/1000, 损失: 0.0308
[119秒] 样本 95/1000, 损失: 0.6797
[120秒] 样本 96/1000, 损失: 0.6797
[121秒] 样本 97/1000, 损失: 0.0308
[122秒] 样本 98/1000, 损失: 0.0308
[123秒] 样本 99/1000, 损失: 0.0315
[124秒] 样本 100/1000, 损失: 0.6654
[126秒] 样本 101/1000, 损失: 0.0298
[127秒] 样本 102/1000, 损失: 0.0298
[128秒] 样本 103/1000, 损失: 0.0298
[129秒] 样本 104/1000, 损失: 0.6847
[130秒] 样本 105/1000, 损失: 0.6644
[131秒] 样本 106/1000, 损失: 0.6847
[132秒] 样本 107/1000, 损失: 0.6847
[133秒] 样本 108/1000, 损失: 0.0298
[134秒] 样本 109/1000, 损失: 0.0298
[135秒] 样本 110/1000, 损失: 0.0298
[137秒] 样本 111/1000, 损失: 0.6847
[138秒] 样本 112/1000, 损失: 0.6847
[139秒] 样本 113/1000, 损失: 0.6847
[140秒] 样本 114/1000, 损失: 0.0298
[141秒] 样本 115/1000, 损失: 0.6767
[142秒] 样本 116/1000, 损失: 0.0308
[144秒] 样本 117/1000, 损失: 0.6847
[145秒] 样本 118/1000, 损失: 0.0298
[147秒] 样本 119/1000, 损失: 0.6847
[148秒] 样本 120/1000, 损失: 0.6847
[149秒] 样本 121/1000, 损失: 0.0298
[150秒] 样本 122/1000, 损失: 0.6847
[151秒] 样本 123/1000, 损失: 0.0298
[152秒] 样本 124/1000, 损失: 0.6847
[154秒] 样本 125/1000, 损失: 0.0401
[155秒] 样本 126/1000, 损失: 0.6847
[156秒] 样本 127/1000, 损失: 0.6847
[157秒] 样本 128/1000, 损失: 0.0298
[158秒] 样本 129/1000, 损失: 0.6847
[159秒] 样本 130/1000, 损失: 0.0298
[160秒] 样本 131/1000, 损失: 0.0298
[161秒] 样本 132/1000, 损失: 0.0298
[162秒] 样本 133/1000, 损失: 0.6706
[164秒] 样本 134/1000, 损失: 0.6847
[165秒] 样本 135/1000, 损失: 0.6847
[166秒] 样本 136/1000, 损失: 0.6607
[167秒] 样本 137/1000, 损失: 0.6847
[168秒] 样本 138/1000, 损失: 0.0298
[169秒] 样本 139/1000, 损失: 0.0298
